method,snr,fiber_class,peak_detection_rate,peak_precision,peak_f1,fiber_count_accuracy,mean_angular_error,num_voxels
CSD,20,N=3,0.39493333333333336,0.6459844065209095,0.49018431559132003,0.1591,6.3979934387771396,10000
CSD,50,N=1,0.9386,0.8252879627187197,0.8783044027511345,0.8855,4.576190856550075,10000
CSD,50,N=2,0.538,0.782260996001454,0.6375351799733374,0.2219,6.19688734874925,10000
CSD,50,N=3,0.4413,0.6883839434276207,0.5378209294767632,0.1495,5.616958275534285,10000
GQI,10,N=1,0.3934,0.29035353162595023,0.33411185188330716,0.7004,10.63811300282843,10000
GQI,10,N=2,0.21795,0.29353535353535354,0.25015781922525104,0.335,11.136883098201315,10000
GQI,10,N=3,0.16026666666666667,0.2692652329749104,0.20093614175860916,0.0981,11.60459310469066,10000
GQI,20,N=1,0.4018,0.3043247746724229,0.3463345257078826,0.737,10.720778297592718,10000
GQI,20,N=2,0.231,0.31576789009637074,0.2668129710375098,0.3179,11.123801739839106,10000
GQI,20,N=3,0.1719,0.28069888961463096,0.21322252542793352,0.1238,11.58446261465352,10000
GQI,50,N=1,0.3982,0.3050172347759479,0.34543482975493384,0.7462,10.8479998710406,10000
GQI,50,N=2,0.23075,0.3180565127498277,0.26745870762097945,0.3094,11.109420055299337,10000
GQI,50,N=3,0.17366666666666666,0.28092311010460475,0.21464178305112674,0.1308,11.500372564861857,10000
