method,snr,bucket,peak_detection_rate,peak_precision,peak_f1,fiber_count_accuracy,mean_angular_error,num_voxels
CSD,50,"(50, 60)",0.545,0.7858687815428983,0.6436374372601122,0.267,5.385020801856625,1000
CSD,50,"(60, 70)",0.5415,0.7584033613445378,0.631855309218203,0.263,5.483980497547308,1000
CSD,50,"(70, 80)",0.548,0.7632311977715878,0.6379511059371362,0.252,5.098955848678128,1000
CSD,50,"(80, 90)",0.553,0.7549488054607508,0.6383838383838384,0.245,5.020578516767056,1000
GQI,10,"(10, 20)",0.2815,0.4103498542274053,0.333926453143535,0.249,10.240402548205434,1000
GQI,10,"(20, 30)",0.266,0.38522809558291093,0.3146997929606625,0.263,10.68803910963295,1000
GQI,10,"(30, 40)",0.2425,0.3447050461975835,0.28470795421191664,0.28,11.60785204937499,1000
GQI,10,"(40, 50)",0.221,0.30503795721187027,0.2563061757031023,0.291,11.282008438507027,1000
GQI,10,"(50, 60)",0.219,0.29694915254237286,0.25208633093525185,0.307,11.293570512912627,1000
GQI,10,"(60, 70)",0.212,0.27496757457846954,0.23941276115189158,0.341,11.594415293741237,1000
GQI,10,"(70, 80)",0.212,0.2710997442455243,0.2379349046015713,0.38,11.18986487389819,1000
GQI,10,"(80, 90)",0.21,0.27450980392156865,0.23796033994334279,0.367,11.198537719787453,1000
GQI,20,"(10, 20)",0.282,0.4266263237518911,0.33955448524984944,0.216,10.410453470102231,1000
GQI,20,"(20, 30)",0.2725,0.4107008289374529,0.32762248271716266,0.236,10.903713949123363,1000
GQI,20,"(30, 40)",0.252,0.37305699481865284,0.3008057296329454,0.265,11.538888590624703,1000
GQI,20,"(40, 50)",0.2385,0.3333333333333333,0.2780530457592538,0.289,11.338665566999227,1000
GQI,20,"(50, 60)",0.229,0.3227625088090204,0.2679145949107926,0.28,11.199146528467008,1000
GQI,20,"(60, 70)",0.222,0.3004059539918809,0.25531914893617025,0.349,11.56406393344514,1000
GQI,20,"(70, 80)",0.227,0.2877059569074778,0.25377305757406377,0.392,11.009208022474747,1000
GQI,20,"(80, 90)",0.2285,0.2977198697068404,0.2585572842998586,0.384,10.84702304966546,1000
GQI,50,"(10, 20)",0.276,0.41786525359576077,0.3324299909665763,0.212,10.209953716257166,1000
GQI,50,"(20, 30)",0.272,0.41910631741140214,0.32989690721649484,0.213,10.88985788637065,1000
GQI,50,"(30, 40)",0.249,0.3752825923134891,0.29936880072137056,0.25,11.626374519000906,1000
GQI,50,"(40, 50)",0.234,0.3342857142857143,0.27529411764705886,0.297,11.2714388530182,1000
GQI,50,"(50, 60)",0.2235,0.3141250878425861,0.26117440841367223,0.295,10.975013732886197,1000
GQI,50,"(60, 70)",0.232,0.3095396931287525,0.2652186338953987,0.338,11.562008457090746,1000
GQI,50,"(70, 80)",0.233,0.29512349588347053,0.2604079351774239,0.367,11.052050633397444,1000
GQI,50,"(80, 90)",0.2295,0.3001962066710268,0.26013034854066314,0.374,11.013095542597776,1000
